Team,Match,Scout,AutoGear,ballPickup,gearPickup,autoPosition,mobility,autokPa,autoAccuracy,teleGearsMade,teleGearsAttempted,telekPa,teleAccuracy,Climb,fouls,yellowCard,redCard,comments
5406,,Mordechai,attempted,no,no,right,yes,0,0,2,2,0,0,no attempt,none,none,none,"lost comms twice during match"
2164,,,no,no,on,center,yes,0,0,4,5,0,0,success,none,none,none,"swerve?"
4085,,Ari,yes,no,no,center,yes,0,0,1,3,0,0,attempted,none,none,none,"Bad Driver. Easily pushed. Mecanum wheels or swerve"
4085,,Ari,attempted,no,no,center,yes,0,0,0,0,0,0,no attempt,none,none,none,""
862,,,no,no,no,center,yes,0,0,5,5,0,0,success,none,none,none,"Able to be defended really easily. climbs really fast. Fast overall"
1262,,,no,no,no,center,no,0,0,0,2,0,0,success,none,none,none,"plays defense"
5173,,,yes,no,no,center,yes,0,0,1,3,0,0,success,none,none,none,"gear fell in the side of the robot. preventing anymore gears."
1285,,,yes,no,no,right,yes,0,0,2,2,0,0,success,none,none,none,"played D"
1481,,,no,no,no,center,no,0,0,2,0,0,0,success,none,on,none,"lost comms."
2614,,,yes,no,no,center,yes,0,0,3,4,0,0,success,none,none,none,""
333,,,attempted,no,no,center,yes,0,0,3,3,0,0,no attempt,none,none,none,"Issues lining up"
4859,,,no,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"mecanum or swerve. defended easily. lost comms."
1806,,,no,no,no,center,yes,18,0,1,3,0,0,success,none,none,none,"got gear knocked out from hard defense 2 times."
250,,,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"mecanum kind of slow"
5406,,,attempted,no,no,center,yes,0,0,1,1,0,0,no attempt,none,none,none,"lost comms"
141,,,no,no,no,center,no,9,90,0,0,0,0,no attempt,none,none,none,"hard time lining up gears. cant put up gears with balls in the way"
910,,,no,no,on,center,no,15,0,6,6,0,0,success,none,none,none,"shoot from the hopper"
4976,,,no,on,on,center,yes,0,0,2,3,0,0,no attempt,none,none,none,"hopper auto. they can do more gears, but chose to do fuel."
6328,,,no,no,no,center,yes,0,0,3,4,0,0,success,none,none,none,"Active Gear, can be knocked out easily."
66,,,attempted,no,no,center,yes,0,0,2,3,0,0,attempted,none,none,none,"Drops gears. flips. struggle picking up gears. cant pick up with gears in the way"
1923,,,no,no,no,left,no,0,0,3,4,0,0,attempted,none,none,none,"Defendable. switched to Defense. Spend too much time on D, which made them miss their climb."
5690,,,no,no,no,center,yes,0,0,3,4,0,0,no attempt,none,none,none,"has trouble with clutter"
238,,,no,no,no,center,yes,0,0,3,4,0,0,no attempt,none,none,none,"Defensible. too big. gets in the way. pretty fast for its size."
85,,,no,on,no,center,no,5,0,4,4,0,0,no attempt,none,none,none,"easily defensible
gets gears knocked out if hit. does good with clutter."
5436,,,no,on,no,center,yes,0,0,5,6,0,0,no attempt,none,none,none,"average speed. got 4 rotors."
2960,,,yes,no,no,center,yes,0,0,2,3,0,0,success,none,none,none,"got it kicked out by defense"
3618,,,no,no,no,center,no,0,0,2,4,0,0,success,none,none,none,"got gear knocked out from heavy brick D 2 times"
5406,,,no,no,no,center,no,1,5,2,3,0,0,no attempt,none,none,none,"lost comms 2 times. tried ground pickup unsuccessfully. got in the way."
254,,,yes,on,on,center,yes,44,0,0,0,0,0,no attempt,none,none,none,"Plays D(not good). Good ground pickup. not good with gears"
103,,,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"Good at running gears. Fast. Takes time to catch the rope."
5895,,,attempted,no,no,center,yes,0,80,2,2,0,0,success,none,none,none,"problems fuel. Driver is really bad. fast climbing."
75,,,attempted,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"They were lost. pushed easily. almost trip-on. decent climber"
2164,,,yes,no,on,center,yes,0,0,4,4,0,0,success,none,none,none,"fast climbing. looks like a pyramid. weirdest robot. it gets pushed easily."
1285,,Eillym,yes,no,no,right,yes,0,0,1,1,0,0,success,none,none,none,"Really good at playing Defense. passive slow climbing"
5173,,,yes,no,no,center,yes,0,0,1,4,0,0,success,none,none,none,"bad at placing gears on peg. they are slow. their gear got in a wrong place. they cant get more gears now."
5509,,,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"good with gears. Need their own pilot. they play defense."
156,,,no,no,no,center,yes,0,0,2,2,0,0,no attempt,none,none,none,"lost comms. they are slow. they cant score gears. Trouble getting gears from the station."
141,,,no,no,no,center,no,0,100,3,3,0,0,success,none,none,none,"they have problems to put gears. Hard to defend them"
27,,,no,no,no,center,yes,0,75,4,4,0,0,success,none,none,none,"good with defense"
107,,,yes,no,on,center,yes,0,0,3,3,0,0,success,none,none,none,"Really fast climbing."
6763,,Eillym,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"They need their own pilot. Passive. Their climbing is really slow."
4226,,Eillym,no,no,no,center,yes,0,0,0,0,0,0,success,none,none,none,"They get pushed easily. they mainly played defense. really slow climber."
6651,,Eillym,no,no,no,center,yes,0,0,0,0,0,0,attempted,none,none,none,"good at playing defense. lost connection."
4085,,Eillym,attempted,no,no,center,yes,0,0,1,1,0,0,attempted,none,none,none,"mecanum. they suck really bad at defense. it took them like 1 minute to score a gear. passin"
5846,,,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"passive gear. moves easily. They cant deal with fuel. fast climbing."
1262,,Eillym,no,no,on,center,yes,0,0,2,2,0,0,success,none,none,none,"Slow climbing"
1262,,Eillym,attempted,no,no,center,no,0,0,4,4,0,0,success,none,none,none,"Active. They have a shooter. they dont use it."
862,,,yes,no,no,center,yes,0,0,0,0,0,0,success,none,none,none,"defended really easily. they can drop the gears. climbs fast."
862,,Eillym,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"Passive. fast. they do gears really good. climbing is fast."
103,,Mordechai,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"decent climber speed"
5895,,,no,no,no,center,no,0,80,2,4,0,0,success,none,none,none,"clutter is an issue delivering gears. switched to defense."
4085,,Mordechai,yes,no,no,center,yes,0,0,0,0,0,0,attempted,none,none,none,"bad drive team. mecanum."
4085,,Mordechai,no,no,no,center,no,0,0,1,1,0,0,attempted,none,none,none,"bad drive team. very slow. mecanum wheels."
694,,Mordechai,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"active gear placer that takes a while. slow climber"
708,,Mordechai,no,no,on,center,yes,5,80,3,3,9,90,success,none,none,none,"slow. gets pushed easily. slow climber."
708,,,no,no,on,center,yes,7,75,0,0,10,75,success,none,none,none,"they are slow. gets pushed easily. really slow climber"
694,,,yes,no,no,center,yes,0,0,5,5,0,0,success,none,none,none,"they are fast. active. really slow climber."
