Team,Match,Scout,AutoGear,ballPickup,gearPickup,autoPosition,mobility,autokPa,autoAccuracy,teleGearsMade,teleGearsAttempted,telekPa,teleAccuracy,Climb,fouls,yellowCard,redCard,comments
3618,1,John,yes,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,It seems as though they tried fuel before but now resorted to gears and defense.
340,1,Yellianvette,attempted,no,no,left,yes,0,0,3,4,0,0,success,none,none,none,Pretty slow.
6763,1,Lalo,no,no,no,right,yes,0,0,3,3,0,0,success,none,none,none,"Defensive, not fast."
4242,1,Dana,attempted,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,N/A
3755,1,Yan Nang Soe,attempted,no,no,center,yes,0,0,2,4,0,0,no attempt,none,none,none,It lost connection. It stopped moving after getting second gear.
1718,1,Gisselle,attempted,no,no,center,yes,0,0,0,0,0,0,success,none,none,none,Need to work on autonomous by getting the gear on the peg.
27,2,John,no,no,no,center,yes,72,75,3,3,0,0,success,none,none,none,The oldest team in our division. So much of a threat that the other team felt the need to try and attack them.
694,2,Gisselle,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,N/A
6328,2,Dana,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,N/A
201,2,Lalo,yes,no,on,center,yes,0,0,3,4,0,0,success,none,none,none,Slow.
4226,2,Yellianette,no,no,no,center,yes,0,0,0,0,0,0,success,none,none,none,"Didn't do anything at all (no gear, no attempts)"
4618,2,Yan Nang Soe,no,no,no,center,no,0,0,0,2,0,0,success,none,none,none,It didn't score anything but climbing.
6378,4,Dana,attempted,no,no,center,yes,0,0,0,0,0,0,no attempt,none,none,none,It didn't move.
346,4,Gisselle,attempted,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,Good on gears.
141,4,John,no,on,no,left,yes,10,75,1,1,0,0,success,none,none,none,Being backed in the corner and playing where defense looks... questionable
2767,4,Yan Nang Soe,no,on,no,center,yes,10,50,2,3,20,90,success,none,none,none,"It does balls the most and some gears too, plays almost all offense."
333,4,Yeilianette,no,no,no,center,no,0,0,0,1,0,0,no attempt,none,none,none,It moves fast.
5173,lalo,4,attempted,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"Struggled getting rope, not that fast."
107,5,John,attempted,no,on,center,yes,0,0,2,2,0,0,success,none,none,none,Robot struggles... a lot. the disadvantages of trying to do everything but ended up dropping one.
5436,5,Gisselle,yes,no,no,center,yes,0,0,4,4,0,0,no attempt,none,none,none,N/A
178,5,Dana,attempted,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,N/A
75,5,Yan Nang Soe,attempted,no,on,center,yes,0,0,0,0,0,0,success,none,none,none,It just picked up any gear from the ground and place it on a peg and leave it on while going to get another.
238,5,Yeilianette,no,no,no,center,yes,5,25,4,5,0,0,success,none,none,none,Not a lot of high goals; shoot from left side
250,5,Lalo,no,on,no,center,no,0,0,2,2,0,0,success,none,none,none,N/A
156,6,John,yes,no,no,left,yes,0,0,1,2,0,0,success,none,none,none,They seem more all into defending than delivering gears It's too slow for its purpose.
1262,6,Job,no,no,on,center,yes,0,0,2,2,0,0,success,none,none,none,They were pretty good but due to its massive size it was an easy bot to block.
1806,6,Dana,attempted,no,no,center,yes,0,0,3,4,0,0,success,none,none,none,It was kind of blocking other teams.
1676,6,Yellianette,yes,no,no,center,yes,0,0,3,4,0,0,success,none,none,none,Defensive
5406,6,Yan Nang Soe,no,no,on,center,yes,0,0,2,4,0,0,success,none,none,none,"Auto: from center, turned and shot a lot. Very accurate(no numbers); Tele: shot a lot very accurate (no numbers); Dropped on gear and picked it up and scored. climbed fast."
5942,7,Elijah,yes,no,no,center,yes,0,0,2,3,0,0,success,none,none,none,kind of slow; defensive
862,7,Dana,yes,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,It was moving pretty fast.
2164,7,John,no,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"Nothing much to say to be honest, but they did good. "
5690,7,Gisselle,no,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,Climbs and does gears good.
4967,8,John,no,on,no,center,yes,10,30,0,0,20,50,success,none,none,none,The first team I've seen here that tries for the 80 bonus for fuel
4678,7,Yellianette,yes,no,on,center,yes,0,0,4,4,0,0,success,none,none,none,pretty fast; placed a lot of gears
4859,8,Gisselle,no,no,no,center,no,0,0,3,3,0,0,success,none,none,none,Good on gears.
103,8,Yellianette,yes,no,no,center,yes,0,0,4,4,0,0,no attempt,none,none,none,climbs really fast; good at getting the rope
1481,8,Dana,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,N/A
6548,8,Elijah,no,no,no,center,yes,0,0,1,3,0,0,success,none,none,none,Slow.
85,8,Lalo,yes,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"trouble getting gears from loading station; was defending for 15sec., shooting high the last 20sec."
1923,9,Dana,yes,no,no,center,yes,0,0,3,3,0,0,no attempt,none,none,none,N/A
254,9,Elijah,yes,no,no,center,yes,0,0,1,2,30,90,success,none,on,none,Gears aren't so good but great shooter
5895,9,Yellianette,no,no,no,center,no,10,100,4,4,0,0,success,none,none,none,pretty good at the high goal; good at climbing fast
5509,9,Gisselle,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,Good on gears and climbing.
1285,9,Job,yes,no,no,center,no,0,0,2,2,0,0,attempted,none,none,none,They kept blocking him from getting gears. It was too small to get through/slow
2614,9,lalo,no,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"Was not aiming to the high goal (auto), not fast, slow with gears but good."
2509,,Yell,no,no,no,center,no,0,0,0,0,0,0,no attempt,none,none,none,
2509,10,Yellianette,no,no,no,center,yes,0,0,2,2,0,0,attempted,none,none,none,Fast at placing gears; deffensive
708,10,Lalo,no,no,no,center,no,0,0,3,3,0,0,attempted,none,none,none,"Starts on the near side, was over confident and didn't have enough time to climb. Tried defending"
5846,10,Job,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,they are pretty quick. They are on spot within robot.
2062,10,Gisselle,no,no,no,center,yes,0,0,3,3,0,0,attempted,none,none,none,Good at getting gears
6490,,Donut,yes,no,no,center,yes,0,0,0,0,0,0,success,none,none,none,Turning a little shaky. great gear placer. exceptional speed during autonomous.
5976,11,Yellianette,no,no,no,center,yes,0,0,3,3,0,0,attempted,none,none,none,fast good at getting and placing gears.
894,11,Elijah,yes,no,no,center,yes,0,0,0,0,20,90,no attempt,none,none,none,good
