Team,Match,Scout,AutoGear,ballPickup,gearPickup,autoPosition,mobility,autokPa,autoAccuracy,teleGearsMade,teleGearsAttempted,telekPa,teleAccuracy,Climb,fouls,yellowCard,redCard,comments
333,56,Gisselle,yes,no,no,center,yes,0,0,5,5,0,0,success,none,none,none,"Did really food job on auto. climbing and gears. good speed."
4362,56,Lalo,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"fuel only auto. from near position.

good with gears."
5976,56,Jackie,no,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"Good gears. fast climb"
5442,56,Yei,attempted,no,no,right,yes,0,0,3,3,0,0,success,none,none,none,"fast, fast climb 3 sec"
256,56,John,attempted,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"slow and steady"
2181,55,Lalo,yes,no,no,center,yes,0,0,1,1,0,0,success,none,none,none,"gears only. didnt do much"
244,55,Jackie,yes,no,no,center,yes,0,0,4,5,0,0,success,none,none,none,"fast gears"
2767,55,Gisselle,no,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,""
2614,54,Gisselle,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,""
1981,55,John,no,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,""
178,55,Yei,attempted,no,no,right,yes,0,0,3,3,0,0,success,none,none,none,"fast, good at defending. no fuel"
1806,55,Dana,attempted,no,no,center,yes,0,0,1,1,0,0,success,none,none,none,"scored some fuel in auto. tried defense."
2062,54,Jackie,no,no,on,right,yes,0,0,4,4,0,0,success,none,none,none,"not that good at defending"
5436,54,Dana,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,""
141,54,John,no,on,no,left,yes,0,0,2,2,2,0,success,none,none,none,"135 sec 1 gear. 30 sec shoot. 13 sec climb Nice strategy"
2960,53,Dana,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"moving fast"
6651,,Yei,yes,no,no,center,yes,0,0,1,1,0,0,success,none,none,none,"-fast -any balls"
85,52,Gisselle,attempted,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"Had trouble putting gear on the pef during auto. had normal speed. good gears"
238,52,Kackie,no,no,no,left,yes,9,40,4,4,0,0,success,none,none,none,"good gears. not good at pushing opponents."
2509,52,Lalo,yes,on,no,right,yes,0,45,2,2,10,30,success,none,none,none,"gears and fuel in auto. not a lot of fuel. slow."
4122,52,Dana,attempted,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"not good at vlocking other robots."
1676,52,John,yes,no,no,right,yes,0,0,2,2,0,0,success,none,none,none,"unreliablilty isnt great. easily blocked by D."
340,,Yei,yes,no,no,right,yes,0,0,0,0,0,0,success,none,none,none,"defensive. fast climb. defending their teammaite."
254,51,Lalo,attempted,no,on,right,yes,0,0,0,0,99,0,success,none,none,none,"Fuel and gears. shoots high. pretty good with gears."
1481,66,Ransom,yes,no,no,center,yes,0,0,5,5,0,0,success,none,none,none,"fast at getting gears. fast at climbing. weak with defense."
4226,51,Yei,attempted,no,no,right,yes,0,0,2,2,0,0,success,none,none,none,""
4226,51,Yei,attempted,no,on,right,yes,0,0,2,2,0,0,success,none,none,none,""
1806,64,Jackie,yes,no,no,right,yes,0,0,2,2,0,0,success,none,none,none,"it stopped a little . not bad at defense"
201,64,Gisselle,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"good on gears. and defense. fast climbing"
3755,64,John,attempted,no,no,center,yes,0,0,2,2,0,0,attempted,none,none,none,"similar to ours. but not as fast."
5173,64,Dana,yes,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,""
141,63,dana,yes,no,no,left,yes,0,0,3,3,0,0,success,none,none,none,""
45,63,lalo,attempted,no,no,right,yes,0,0,2,2,0,0,attempted,none,none,none,"slow delivery. def."
178,63,Gisselle,no,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,""
45,63,Jackie,no,no,no,left,yes,0,0,4,4,0,0,attempted,none,none,none,"had trouble climbing"
103,63,John,attempted,no,no,left,yes,0,0,2,2,0,0,success,none,none,none,"felt disoriented. "
1262,63,Yei,attempted,no,on,center,yes,0,0,3,3,0,0,attempted,none,none,none,"slow. auto. "
5406,67,Jackie,no,no,on,right,yes,4,30,4,4,0,0,no attempt,none,none,none,"lost comm. fast at getting gears. not good at shooting fuel."
5675,50,Jackie,no,no,no,center,yes,0,0,4,4,0,0,attempted,none,none,none,"good running gears"
67,51,John,yes,no,no,center,yes,0,0,2,2,0,0,success,none,none,none,"Starting to gain traction, I see."
4859,,Gisselle,no,no,no,center,yes,0,0,3,3,0,0,success,none,none,none,"good climb"
66,68,Jackie,attempted,no,no,right,yes,0,0,4,4,0,0,no attempt,none,none,none,"fast at gears. weak with defense. distracted getting gears that it didnt climb"
4085,51,Dana,attempted,no,on,center,yes,0,0,0,0,0,0,success,none,none,none,"first gear got stuck so they could't  do anything else"
201,57,Lalo,attempted,no,no,left,yes,0,0,3,3,0,0,success,none,none,none,"gears only. tried to defend good driver."
4859,57,Dana,yes,no,no,center,yes,0,0,3,3,0,0,attempted,none,none,none,""
5846,57,Yei,yes,no,no,center,yes,0,0,4,4,0,0,success,none,none,none,"no fuel. so fast climbing. "
